scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
smoketest-get-time,platform-tomcat,1301,0,200,200,201,0.32,0.41,0.55,0.94,13.6,4.98,10.1,17.6,17.7,4.15,5.58,99,507,61,61,69,103,0.82,1.05,8.05,10
smoketest-get-time,loom-tomcat,1300,0,200,200,201,0.33,0.43,0.59,1.19,14.9,5.16,10.1,21.0,21.0,4.53,6.54,102,468,22,22,69,103,0.81,1.04,8.04,10
smoketest-get-time,loom-netty,1300,0,200,200,201,0.42,0.54,0.77,1.33,14.6,5.44,9.57,21.2,21.2,3.67,5.07,105,503,18,18,69,103,0.58,0.73,5.03,6.22
smoketest-get-time,webflux-netty,1300,0,200,200,201,0.39,0.51,0.73,1.46,15.8,5.29,9.21,21.4,21.5,3.65,5.59,102,480,22,22,69,103,0.58,0.74,5.03,6.19
smoketest-get-movies-h2,platform-tomcat,69,0,10,11.8,16,104,106,110,577,646,4.27,5.24,21.5,21.5,5.75,6.07,105,476,28,29,9,13,4.38,5.90,19.5,30
smoketest-get-movies-h2,loom-tomcat,69,0,10,11.8,16,104,106,119,585,651,4.35,5.53,21.5,21.5,5.50,5.86,105,490,22,23,9,13,4.37,5.89,19.5,30
smoketest-get-movies-h2,loom-netty,69,0,10,11.2,14,104,106,108,377,446,4.96,6.44,21.6,21.6,4.87,5.22,105,483,18,19,9,13,3.97,5.28,13.6,22
smoketest-get-movies-h2,webflux-netty,69,0,10,11.2,14,104,106,109,376,444,4.18,6.24,22.1,22.1,4.67,4.98,105,462,22,23,9,13,4.35,5.75,19.9,30
smoketest-get-movies-postgres,platform-tomcat,69,0,10,11.8,16,104,106,108,603,671,12.5,15.3,13.8,14.3,6.78,8.24,106,481,30,30,365,471,11.4,13.4,78.5,92.2
smoketest-get-movies-postgres,loom-tomcat,69,0,10,11.8,16,105,106,113,630,701,13.1,13.8,17.1,17.6,6.87,8.06,105,469,24,25,339,445,13.9,16.5,78.4,91.6
smoketest-get-movies-postgres,loom-netty,69,0,10,11.9,14,104,106,109,439,508,12.8,14.5,17.3,17.8,5.86,7.53,106,516,20,21,363,467,16.1,19.1,73.5,79.4
smoketest-get-movies-postgres,webflux-netty,69,0,10,11.2,14,105,106,111,425,495,12.4,14.1,17.8,18.2,5.99,7.27,105,518,24,25,367,473,19.2,23.3,79.9,93.4
smoketest-get-movies-postgres-no-cache,platform-tomcat,69,0,10,12.1,17,118,122,154,681,750,17.3,20.7,17.8,18.3,5.31,7.96,114,574,29,29,334,437,47.8,60.9,271,341
smoketest-get-movies-postgres-no-cache,loom-tomcat,69,0,10,12.1,17,125,129,163,693,761,19.5,23.6,18.1,18.6,4.57,7.60,115,593,23,24,356,457,55.3,70.7,306,386
smoketest-get-movies-postgres-no-cache,loom-netty,69,0,10,11.5,15,129,133,143,486,553,20.4,25.3,17.9,18.4,4.57,7.33,112,578,20,20,335,437,63.4,79.9,339,422
smoketest-get-movies-postgres-no-cache,webflux-netty,69,0,10,11.2,14,127,131,160,453,522,19.0,22.2,18.7,19.2,4.59,6.39,111,556,24,24,341,443,72.5,90.7,387,479
