scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
1k-vus-and-rps-get-time-no-delay,platform-tomcat,180999,0,1000,1001,1021,0.30,0.37,0.40,0.54,26.2,15.9,34.1,23.8,25.1,30.7,63.2,3726,19731,330,331,991,1004,1.05,1.48,10.1,17.7
1k-vus-and-rps-get-time-no-delay,loom-tomcat,180999,0,1000,1001,1040,0.31,0.39,0.44,0.56,12.1,18.4,31.1,28.0,28.9,32.0,63.2,4176,20087,21,22,991,1003,1.05,1.48,10.1,17.9
1k-vus-and-rps-get-time-no-delay,loom-netty,180998,0,1000,1000,1041,0.39,0.46,0.51,0.64,15.2,20.6,28.6,28.4,28.9,30.8,60.9,4138,27843,17,18,997,1003,0.73,0.74,6.01,8.58
1k-vus-and-rps-get-time-no-delay,webflux-netty,181005,0,1000,1001,1065,0.36,0.43,0.47,0.66,16.2,16.3,27.4,27.8,29.0,29.2,60.8,3736,25334,21,22,997,1004,0.74,0.75,6.01,8.50
5k-vus-and-rps-get-time,platform-tomcat,907713,0,5001,5368,6648,100,101,128,250,989,87.5,98.2,39.0,39.8,45.2,82.5,7232,104770,1425,1437,4978,5003,1.16,1.65,12.1,17.4
5k-vus-and-rps-get-time,loom-tomcat,905478,0,5001,5271,6119,100,101,132,223,513,84.6,99.5,39.0,39.5,43.2,74.3,16072,266099,21,22,4979,5004,1.15,1.56,12.1,18.4
5k-vus-and-rps-get-time,loom-netty,906987,0,5001,5367,5957,100,101,133,256,814,89.2,96.7,35.9,36.6,40.8,69.0,8699,152654,17,18,5003,5003,0.84,1.04,8.00,9.98
5k-vus-and-rps-get-time,webflux-netty,905492,0,5001,5241,6008,100,101,132,210,522,86.3,100,35.2,35.9,35.1,63.9,6243,93592,21,22,5003,5003,0.85,1.12,8.01,10.6
10k-vus-and-rps-get-movies,platform-tomcat,1091644,9117,5244,9830,12488,101,929,1488,2094,59980,99.3,100,53.5,61.0,46.9,79.3,13938,517341,4656,5018,9945,10053,5.82,24.3,16.0,79.9
10k-vus-and-rps-get-movies,loom-tomcat,728795,10745,4021,5430,7503,101,2019,2535,2934,59751,98.5,100,45.3,46.2,75.1,97.7,60380,3035412,21,21,10000,10005,4.28,5.52,10.4,23.1
