scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
1k-vus-and-rps-get-time-no-delay,platform-tomcat,181000,0,1000,1001,1024,0.30,0.37,0.42,0.55,10.9,17.3,36.5,23.5,25.6,28.0,63.5,3914,19789,324,325,994,1007,1.03,1.46,10.1,17.9
1k-vus-and-rps-get-time-no-delay,loom-tomcat,181000,0,1000,1001,1051,0.32,0.39,0.45,0.56,10.9,19.4,35.8,28.5,29.3,32.7,62.3,4273,20220,21,22,994,1006,1.02,1.46,10.1,17.9
1k-vus-and-rps-get-time-no-delay,loom-netty,180999,0,1000,1001,1019,0.39,0.46,0.50,0.64,18.4,18.6,44.4,28.4,29.3,29.7,60.6,4176,28901,17,18,1000,1007,0.71,0.72,6.01,6.97
1k-vus-and-rps-get-time-no-delay,webflux-netty,180999,0,1000,1001,1034,0.37,0.43,0.47,0.66,20.5,16.9,36.3,28.4,29.6,29.1,60.8,3781,23512,21,22,1000,1006,0.72,0.72,6.00,7.02
5k-vus-and-rps-get-time,platform-tomcat,904944,0,5000,5230,6630,100,101,134,265,694,87.8,100,40.4,41.8,46.9,75.1,7464,105529,1606,1766,4981,5007,1.14,1.74,12.1,18.5
5k-vus-and-rps-get-time,loom-tomcat,904918,0,5001,5152,6108,100,101,139,267,689,86.0,100,41.0,41.7,43.6,81.9,13280,218672,21,22,4979,5006,1.13,1.62,12.1,18.9
5k-vus-and-rps-get-time,loom-netty,905818,0,5002,5207,6159,100,101,141,247,701,90.7,99.8,38.4,39.3,45.0,74.6,8788,173506,17,18,5006,5006,0.82,1.14,8.00,11.2
5k-vus-and-rps-get-time,webflux-netty,915255,0,5001,5445,7854,100,101,162,572,955,86.5,100,36.9,37.8,35.1,64.8,6190,92783,21,22,5006,5008,0.83,1.84,8.08,18.1
10k-vus-and-rps-get-movies,platform-tomcat,1092127,8849,5146,9727,11745,101,907,1460,2020,60000,99.1,100,57.8,66.5,54.0,80.2,13762,433184,5875,7274,10075,10378,6.44,107,17.9,264
10k-vus-and-rps-get-movies,loom-tomcat,740856,10747,4187,5183,6488,167,1949,2461,2891,60145,99.1,100,49.2,50.7,76.5,97.2,47429,2617247,21,22,10005,10007,4.29,6.87,10.5,39.2
10k-vus-and-rps-get-movies,loom-netty,921717,0,5135,6053,7129,107,1899,3035,4026,5819,99.9,100,49.1,50.1,68.1,84.7,23484,2177006,17,19,10005,10006,4.13,13.4,7.09,64.6
