scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
25k-vus-smooth-spike-get-post-movies-call-depth-2,loom-netty,670643,0,2340,3469,4816,101,2123,10173,20319,40804,91.2,100,32.3,37.5,55.7,97.1,68672,4396240,23,24,14797,25007,11.1,216,31.2,600
25k-vus-smooth-spike-get-post-movies-call-depth-2,webflux-netty,623846,0,2174,3286,4189,102,2306,11746,23160,40056,91.9,100,32.3,38.0,59.0,97.4,55213,3413231,30,31,14733,25007,21.6,2038,73.8,7400
25k-vus-stepped-spike-get-movies,loom-tomcat,991916,72198,3819,4011,4311,100,102,124,473,60049,72.3,88.8,29.3,33.4,46.0,78.3,11749,274026,27,28,15277,24936,4.06,7.41,12.3,34.3
25k-vus-stepped-spike-get-movies,loom-netty,2016231,0,6220,11757,18704,100,101,160,532,1298,76.1,98.7,29.4,33.3,33.7,69.6,19084,491596,23,24,16750,25007,4.10,17.4,8.54,46.3
25k-vus-stepped-spike-get-movies,webflux-netty,1975466,0,6126,10996,12897,100,103,334,715,1450,76.5,99.9,29.3,33.0,36.4,69.2,16658,421911,30,31,16765,25007,4.54,14.5,16.6,63.5
5k-vus-and-rps-get-movies,loom-tomcat,1505603,0,5001,5039,5412,100,101,121,179,335,73.7,81.8,20.3,20.8,50.9,83.6,19918,350632,28,28,4962,5007,4.29,4.75,12.1,18.8
5k-vus-and-rps-get-movies,loom-netty,1505197,0,5000,5044,5777,100,101,105,207,484,72.9,85.7,18.5,19,36.0,65.7,17453,260389,24,24,5007,5007,3.97,4.74,8.01,9.33
5k-vus-and-rps-get-movies,webflux-netty,1504603,0,5000,5003,5329,100,101,102,116,262,62.3,75.5,18.9,19.4,38.2,67.3,15738,175787,29,29,5007,5007,4.46,4.81,16.0,19.8
5k-vus-and-rps-get-time,loom-tomcat,1505496,0,5000,5064,5346,100,101,123,164,455,72.3,84.6,19.9,20.5,50.1,82.1,18710,348836,28,28,4962,5007,1.16,1.52,12.1,18.6
5k-vus-and-rps-get-time,loom-netty,1504822,0,5000,5023,5363,100,101,105,159,389,72.1,82.4,18.1,18.7,36.7,66.7,16407,242369,24,24,5007,5007,0.84,0.94,8.01,10.3
5k-vus-and-rps-get-time,webflux-netty,1505241,0,5000,5055,5317,100,101,108,150,361,66.3,80.5,18.0,18.6,34.9,64.5,11088,175536,31,31,5007,5007,0.85,1.04,8.01,11.2
smoketest,loom-tomcat,30,0,5,7.50,10,114,116,408,932,989,3.32,4.18,7.67,7.67,3.85,4.32,64,232,26,28,12,12,2.11,2.38,21.2,23.6
smoketest,loom-netty,30,0,5,5.80,7,115,119,134,341,399,3.69,4.51,9.88,9.88,3.20,3.43,56,119,22,23,12,12,1.69,1.96,15.4,17.6
smoketest,webflux-netty,30,0,5,5.80,7,114,117,129,330,388,3.92,4.25,9.95,9.95,3.39,3.62,64,128,28,31,12,12,1.65,1.74,15.2,16
