scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
5k-vus-and-1k-rps-get-movies-call-depth-0,loom-netty,184900,0,1000,1001,1057,100,101,101,101,151,22.6,45.6,28.9,30.0,32.1,60.0,3693,48262,18,20,4977,5006,4.09,4.45,8.12,14.1
5k-vus-and-1k-rps-get-movies-call-depth-0,webflux-netty,184900,0,1000,1001,1061,101,101,101,102,148,26.4,49.9,32.7,33.9,31.8,59.8,3450,41344,21,23,4976,5006,4.57,4.90,16.1,22.0
5k-vus-and-1k-rps-get-movies-call-depth-1,loom-netty,184900,0,1000,1001,1049,101,101,102,108,159,45.4,66.8,33.3,34.7,33.0,63.7,5004,85061,18,20,4976,5006,4.99,5.32,16.1,22.0
5k-vus-and-1k-rps-get-movies-call-depth-1,webflux-netty,184899,0,1000,1001,1158,101,102,102,118,201,47.6,73.0,33.6,34.9,32.9,61.4,4360,82368,21,23,4976,5007,5.46,5.80,24.1,30.0
5k-vus-and-1k-rps-get-movies-call-depth-2,loom-netty,184897,0,1000,1001,1154,102,103,103,129,314,72.2,86.9,33.8,35.1,34.5,63.8,6291,111803,18,20,4977,5006,5.89,6.37,24.1,30.1
5k-vus-and-1k-rps-get-movies-call-depth-2,webflux-netty,184904,0,1000,1001,1144,102,103,105,186,394,69.9,86.4,33.9,35.1,34.2,64.5,5350,88570,21,23,4977,5007,6.36,7.63,32.1,38.0
5k-vus-and-1k-rps-get-movies-call-depth-5,loom-netty,123956,0,661,884,2017,158,7286,8357,9220,11329,99.8,100,38.2,38.8,63.9,98.7,27246,2657072,18,20,4975,5006,9.48,54.1,53.6,358
5k-vus-and-1k-rps-get-movies-call-depth-5,webflux-netty,119151,0,645,830,2550,183,7567,8626,9520,11036,99.8,100,38.5,39.1,78.5,99.9,22287,1808141,21,23,4976,5006,10.6,175,66.1,1049
5k-vus-smooth-spike-get-post-movies-call-depth-0,loom-netty,216626,0,1196,2144,2407,101,101,102,107,338,33.0,83.9,32.9,36.0,27.7,60.5,3627,44569,18,20,3022,5006,7.53,13.4,9.66,53.9
5k-vus-smooth-spike-get-post-movies-call-depth-0,webflux-netty,216804,0,1194,2140,2488,101,101,103,137,392,40.5,99.5,33.0,36.1,27.3,59.6,3533,39030,22,24,3023,5006,8.01,14.2,17.6,57.3
5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,214752,0,1191,2091,2636,101,104,135,382,619,59.4,100,33.5,36.4,30.1,58.4,4678,74932,18,20,3021,5006,8.43,18.8,17.4,83.4
5k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,206183,0,1183,1943,2220,101,108,487,946,1741,62.5,100,33.5,36.6,28.5,59.2,4247,65793,22,24,3022,5006,8.95,23.8,25.6,125
5k-vus-smooth-spike-get-post-movies-call-depth-2,loom-netty,191090,0,1147,1695,2069,102,162,927,1488,2411,72.4,100,33.9,36.8,29.6,61.2,5493,105508,18,20,3023,5007,9.34,21.4,25.5,96.4
5k-vus-smooth-spike-get-post-movies-call-depth-2,webflux-netty,171824,0,1093,1394,1715,102,451,1559,2254,3954,74.0,100,34.2,37.4,31.0,62.9,4722,88428,22,24,3020,5006,10.1,62.2,34.6,289
5k-vus-smooth-spike-get-post-movies-call-depth-5,loom-netty,114601,0,693,865,1147,104,1666,4761,6542,9642,86.0,100,35.8,40.9,42.9,93.0,8143,389100,18,20,3023,5007,12.1,26.5,50.5,203
5k-vus-smooth-spike-get-post-movies-call-depth-5,webflux-netty,106482,0,637,789,1078,104,2101,5153,6837,9131,85.8,100,35.8,40.4,45.4,87.9,6191,274265,22,23,3021,5006,12.7,26.5,58.8,147
