scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
smoketest-get-time,platform-tomcat,1300,0,200,201,201,0.34,0.55,0.76,1.18,5.01,12.5,14.5,18.4,18.4,23.0,23.2,0,0,94,94,4,5,1.64,1.84,21.2,23.7
smoketest-get-time,loom-tomcat,1300,0,200,200,201,0.39,0.70,0.99,1.52,3.94,14.6,17.3,18.5,18.6,22.9,24.1,0,0,24,24,5,5,1.73,23.7,22.4,306
smoketest-get-time,loom-netty,1301,0,200,201,202,0.46,0.69,0.90,1.60,4.77,12.9,16.3,18.4,18.6,22.3,23.4,0,0,20,20,90,104,0.82,3.03,7.48,35.3
smoketest-get-time,webflux-netty,1300,0,200,200,201,0.44,0.69,0.96,1.44,2.66,12.8,17.8,18.3,18.4,22.3,23.3,0,0,24,24,90,104,0.81,1.90,7.33,22
smoketest-get-movies-h2,platform-tomcat,69,0,10,13.6,19,105,107,270,883,948,14.6,67.3,18.7,19.0,17.9,25.9,3,38,33,36,6,6,6.52,64,40.7,390
smoketest-get-movies-h2,loom-tomcat,69,0,10,13.6,19,105,107,254,868,936,14.8,70.8,18.8,18.9,7.64,23.7,3,38,23,25,6,7,6.52,7.09,40.9,43.2
smoketest-get-movies-h2,loom-netty,69,0,10,11.5,15,105,106,109,468,538,11.2,47.2,18.2,18.2,21.8,23.3,0,0,20,21,14,15,5.10,6.58,18.2,27.5
smoketest-get-movies-h2,webflux-netty,69,0,10,11.2,14,105,107,108,437,504,10.3,38.3,18.2,18.3,22.0,23.6,0,0,24,25,14,15,5.58,8.19,26.2,42.9
smoketest-get-movies-postgres,platform-tomcat,69,0,10,13.6,19,106,108,359,969,1037,21.7,72.7,20.5,21.4,24.9,28.4,0,0,35,37,339,502,18.5,32.2,137,250
smoketest-get-movies-postgres,loom-tomcat,68,0,10,13.6,19,106,108,460,1063,1132,24.0,78.8,20.4,21.3,24.6,28.2,0,0,26,27,334,498,23.9,53.0,146,240
smoketest-get-movies-postgres,loom-netty,69,0,10,11.5,15,105,107,111,515,582,17.6,48.7,20.4,21.2,22.8,25.9,0,0,22,23,397,555,24.2,34.1,119,168
smoketest-get-movies-postgres,webflux-netty,69,0,10,11.5,15,106,108,112,524,592,17.9,48.0,20.3,21.1,22.8,26.1,0,0,25,27,387,544,27.3,40.1,124,195
smoketest-get-movies-postgres-no-cache,platform-tomcat,68,0,10,13.6,19,119,123,462,1074,1140,32.4,72.7,20.7,21.8,24.9,29.0,0,0,34,36,349,511,66.4,640,383,3792
smoketest-get-movies-postgres-no-cache,loom-tomcat,68,0,10,13.6,19,122,129,442,1035,1115,35.7,75.8,20.8,21.9,25.1,30.4,0,0,25,26,363,526,76.3,739,430,4254
smoketest-get-movies-postgres-no-cache,loom-netty,69,0,10,11.8,16,124,131,166,628,699,34.1,73.9,20.6,21.9,23.4,28.3,0,0,21,22,385,551,94.7,823,509,4466
smoketest-get-movies-postgres-no-cache,webflux-netty,69,0,10,11.5,15,123,129,256,512,580,35.4,70.2,20.3,21.4,23.0,26.4,0,0,25,26,345,512,101,930,545,5026
