scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
1k-vus-and-rps-get-time-no-delay,platform-tomcat,300999,0,1000,1001,1055,0.33,0.39,0.45,0.55,20.4,21.3,48.6,25.1,26.6,30.8,64.1,6937,37431,396,396,1191,1207,1.06,1.48,10.2,17.8
1k-vus-and-rps-get-time-no-delay,loom-tomcat,301000,0,1000,1001,1038,0.34,0.41,0.47,0.55,17.7,15.2,28,29.7,30.4,33.9,64.1,7815,37764,23,23,1191,1206,1.05,1.47,10.2,17.8
1k-vus-and-rps-get-time-no-delay,loom-netty,300999,0,1000,1001,1014,0.38,0.44,0.48,0.62,30.9,20.0,28.9,30.1,30.7,31.5,60.8,7710,54819,19,19,1201,1206,0.74,0.74,6.03,8.66
1k-vus-and-rps-get-time-no-delay,webflux-netty,300999,0,1000,1001,1052,0.35,0.41,0.49,0.67,22.7,16.4,24.4,30.0,30.8,31.0,62.0,6732,38068,23,23,1201,1206,0.74,0.75,6.03,8.60
5k-vus-and-rps-get-time,platform-tomcat,1510869,0,5005,5575,6217,100,101,150,262,838,88.4,100,40.2,41.8,43.2,77.5,15885,212910,1204,1226,5161,5206,1.17,1.97,12.2,24.0
5k-vus-and-rps-get-time,loom-tomcat,1347985,0,4451,5581,7298,144,1013,1234,1446,1845,99.0,100,41.6,42.9,76.8,95.5,148232,4921465,23,23,5202,5206,1.15,2.43,11.5,24.4
5k-vus-and-rps-get-time,loom-netty,1510259,0,5000,5509,6564,100,102,151,325,1006,89.2,100,38.2,39.0,39.3,69.7,18585,269982,19,19,5205,5205,0.84,1.36,8.04,12.7
5k-vus-and-rps-get-time,webflux-netty,1504926,0,5001,5385,5724,100,102,131,215,1199,86.0,99.5,37.9,39.0,36.4,66.5,13267,184712,23,23,5205,5206,0.85,1.05,8.03,10.1
10k-vus-and-rps-get-movies,platform-tomcat,210352,16563,685,755,1108,106,12033,19684,47642,60128,88.4,100,51.2,52.2,63.4,92.1,16544,622193,5019,5020,10208,10255,11.7,16.4,70.1,96.6
10k-vus-and-rps-get-movies,loom-tomcat,181269,19246,612,718,1152,105,12444,42331,60001,60022,99.8,100,46.7,47.6,82.3,96.8,36500,1457741,23,24,10214,10255,12.5,97.5,72.4,949
10k-vus-and-rps-get-movies,loom-netty,151884,9074,535,564,917,115,13899,47992,60001,60015,98.4,100,46.5,47.5,69.3,86.8,24450,1057989,20,20,10199,10211,16.1,45.2,114,344
10k-vus-and-rps-get-movies,webflux-netty,147963,4175,506,691,3783,672,18977,19623,60000,60092,95.5,100,46.2,47.6,66.3,86.3,18347,776744,23,23,10205,10265,21.1,143,157,1179
10k-vus-stepped-spike-get-movies,platform-tomcat,190456,3596,644,731,829,104,5747,16108,30292,60090,81.9,99.8,47.4,53.2,55.5,92.0,11666,289347,3882,5020,6667,10205,12.5,128,77.2,1554
10k-vus-stepped-spike-get-movies,loom-tomcat,198055,3639,696,741,787,104,5259,10911,26696,60003,97.0,100,44.4,48.4,62.6,90.3,19934,475461,23,24,6658,10205,12.0,17.3,72.0,162
10k-vus-stepped-spike-get-movies,loom-netty,149789,1729,523,554,597,107,4865,26551,60000,60012,98.0,100,43.3,48.1,51.3,88.9,12509,337113,19,20,6869,10196,16.6,35.6,118,408
10k-vus-stepped-spike-get-movies,webflux-netty,140958,725,392,810,1942,105,9588,17831,31127,60007,93.7,100,42.0,47.5,42.3,80.5,9906,225198,21,23,6864,10205,19.4,42.3,142,331
10k-vus-smooth-spike-get-post-movies,platform-tomcat,170655,120920,975,1423,2331,10.0,1353,8587,16888,55007,92.1,100,48.6,57.2,49.7,86.4,10922,439458,2912,5020,5029,9515,18.1,1429,78.3,5108
10k-vus-smooth-spike-get-post-movies,loom-tomcat,116471,180890,962,1301,1571,10.0,126,13953,37008,60171,93.4,100,46.9,52.6,54.2,91.7,13293,310529,23,24,4697,8223,12.0,120,48.5,655
10k-vus-smooth-spike-get-post-movies,loom-netty,115606,164833,947,1300,1635,10.0,386,11604,46354,60762,94.9,100,45.6,51.9,43.0,87.1,11482,247703,19,20,6110,10180,12.6,84.7,57.0,508
10k-vus-smooth-spike-get-post-movies,webflux-netty,132849,67240,674,892,1189,101,4778,13146,20035,23292,90.8,100,44.5,52.1,40.4,83.0,10250,241454,22,24,6151,10205,14.0,155,79.0,941
10k-vus-smooth-spike-get-post-movies-call-depth-1,platform-tomcat,85468,91720,571,1110,2104,10.0,603,9718,60002,60053,66.3,100,49.7,56.3,53.2,86.9,11264,328938,3195,5020,5171,9772,16.3,437,91.2,4496
10k-vus-smooth-spike-get-post-movies-call-depth-1,loom-tomcat,98507,183330,870,1246,1517,10.0,104,15583,38926,60096,94.2,100,44.7,49.5,55.1,91.1,14909,357890,23,24,4687,8135,12.7,204,53.1,1155
10k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,95816,183046,896,1313,1827,10.0,121,12563,54861,61551,95.1,100,42.9,49.0,45.3,88.9,12355,298211,19,20,6080,10152,12.8,146,55.9,922
10k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,110191,36796,476,774,1789,102,7832,16739,25821,49777,88.0,99.8,41.9,47.0,47.7,88.1,12265,333956,22,24,6147,10205,21.0,367,130,2325
