scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
5k-vus-and-1k-rps-get-movies-call-depth-0,loom-netty,184899,0,1000,1001,1092,100,101,101,101,121,21.6,39.9,29.1,31.5,28.3,62.7,5488,38633,17,18,4976,5005,4.11,4.44,8.12,14.0
5k-vus-and-1k-rps-get-movies-call-depth-0,webflux-netty,184899,0,1000,1001,1112,101,101,101,101,145,24.6,45,31.8,35.1,27.4,63.0,5249,39448,21,22,4977,5004,4.59,4.93,16.1,22.0
5k-vus-and-1k-rps-get-movies-call-depth-1,loom-netty,184898,0,1000,1001,1005,101,101,102,106,144,46.0,71.2,34.6,36.1,37.2,68.9,7297,93585,17,18,4976,5005,5.04,5.38,16.1,22.0
5k-vus-and-1k-rps-get-movies-call-depth-1,webflux-netty,184898,0,1000,1001,1023,101,102,102,110,147,48.6,67.3,34.7,36.2,36.6,66.7,6109,70414,21,22,4976,5005,5.52,5.86,24.1,30.0
5k-vus-and-1k-rps-get-movies-call-depth-2,loom-netty,184905,0,1000,1001,1034,102,103,104,142,286,72.5,87.1,36.4,37.5,36.6,66.2,11026,153193,17,18,4977,5004,5.98,6.79,24.1,31.3
5k-vus-and-1k-rps-get-movies-call-depth-2,webflux-netty,184897,0,1000,1001,1164,102,103,105,175,412,71.4,86.2,36.8,38.3,49.4,79.5,8193,161698,20,22,4977,5005,6.44,6.86,32.1,37.9
5k-vus-and-1k-rps-get-movies-call-depth-5,loom-netty,115410,0,625,835,2154,129,7857,8871,9734,11584,99.9,100,39.5,40,65.9,96.2,30007,2579670,17,19,4978,5004,9.69,33.6,53.1,187
5k-vus-and-1k-rps-get-movies-call-depth-5,webflux-netty,111522,0,601,768,1741,203,8108,9351,10403,12494,99.9,100,39.8,40.3,81.1,94.7,26450,1843818,20,22,4978,5005,10.1,68.9,62.0,498
5k-vus-smooth-spike-get-post-movies-call-depth-0,loom-netty,216743,0,1200,2137,2415,101,101,102,104,342,32.9,82.3,33.0,37.4,22.4,62.0,5129,38671,17,19,3020,5005,7.63,29.8,10.1,151
5k-vus-smooth-spike-get-post-movies-call-depth-0,webflux-netty,216649,0,1189,2161,2385,101,101,103,117,379,39.4,94.0,33.0,37.4,24.0,61.8,5051,39380,21,22,3020,5004,8.05,14.5,17.6,52.8
5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,214137,0,1184,2045,2648,101,104,168,420,896,59.0,100,34.1,37.6,23.9,62.6,6405,60835,17,19,3022,5004,8.48,19.8,17.3,117
5k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,200274,0,1180,1793,2058,101,119,680,1125,1956,63.5,100,34.2,38.2,25.5,62.1,6143,64462,21,23,3019,5004,9.00,25.9,25.4,90.5
5k-vus-smooth-spike-get-post-movies-call-depth-2,loom-netty,185930,0,1157,1570,1938,102,215,1134,1573,2443,72.3,100,34.7,38.3,27.2,64.6,7330,98598,17,19,3021,5004,9.45,27.6,25.5,164
5k-vus-smooth-spike-get-post-movies-call-depth-2,webflux-netty,167072,0,1105,1346,1543,102,498,1748,2486,4079,74.0,100,34.7,38.8,27.6,61.5,6807,87099,21,23,3022,5004,9.96,23.3,33.5,95.7
5k-vus-smooth-spike-get-post-movies-call-depth-5,loom-netty,106772,0,655,800,1056,104,1921,5444,6824,9242,85.9,100,36.9,42.3,39.0,94.8,10529,428509,17,19,3022,5004,12.4,26.1,50.2,116
5k-vus-smooth-spike-get-post-movies-call-depth-5,webflux-netty,102444,0,624,739,969,104,2122,5587,7366,9682,85.8,100,36.8,42.3,44.2,90.1,8815,308582,21,22,3023,5006,13.0,45.2,59.5,273
