scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
smoketest-get-time,platform-tomcat,1301,0,200,200,201,0.31,0.37,0.49,0.80,1.59,4.05,5.61,16.9,17.0,3.97,4.66,119,511,60,60,70,104,0.82,1.05,8.04,10
smoketest-get-time,loom-tomcat,1300,0,200,200,201,0.33,0.41,0.55,0.90,5.07,4.27,5.60,20.8,20.9,4.63,6.22,119,483,22,22,70,105,0.81,1.04,8.03,10
smoketest-get-time,loom-netty,1300,0,200,200,201,0.41,0.52,0.72,1.12,2.89,4.47,6.10,21.0,21.1,4.55,6.21,119,525,18,18,70,104,0.58,0.73,5.03,6.19
smoketest-get-time,webflux-netty,1300,0,200,200,201,0.39,0.51,0.70,1.02,2.88,4.85,7.83,21.2,21.4,3.61,4.61,105,441,22,22,70,104,0.58,0.74,5.02,6.16
smoketest-get-movies-h2,platform-tomcat,69,0,10,11.8,16,102,104,116,563,630,4.27,7.07,21.5,21.6,8.11,12.9,107,410,29,30,12,14,4.39,5.65,19.5,24
smoketest-get-movies-h2,loom-tomcat,69,0,10,11.8,16,103,104,135,597,666,4.23,8.29,21.6,21.7,8.10,12.7,107,420,22,23,12,14,4.38,5.64,19.5,24
smoketest-get-movies-h2,loom-netty,69,0,10,11.2,14,103,105,107,367,435,4.11,7.11,21.5,21.6,6.21,11.7,108,457,19,19,12,14,3.98,5.00,13.6,16
smoketest-get-movies-h2,webflux-netty,69,0,10,11.2,14,103,105,110,346,414,4.03,8.04,21.6,21.6,6.23,11.5,110,458,23,23,12,14,4.36,5.50,19.9,24
smoketest-get-movies-postgres,platform-tomcat,69,0,10,11.8,16,102,105,131,582,651,12.6,16.4,23.7,24.3,8.64,13.7,105,435,30,31,356,462,11.5,13.5,79.5,90.6
smoketest-get-movies-postgres,loom-tomcat,69,0,10,12.1,17,103,105,133,666,740,12.8,15.4,23.3,23.8,4.05,5.44,100,446,24,25,350,458,13.9,16.5,79.1,88.4
smoketest-get-movies-postgres,loom-netty,69,0,10,11.2,14,103,105,109,417,486,12.4,15.2,23.8,24.3,7.01,12.1,122,555,20,21,372,478,16.4,19.2,74.5,80.4
smoketest-get-movies-postgres,webflux-netty,69,0,10,11.2,14,103,106,113,404,472,12.1,15.9,23.8,24.4,7.55,12.0,107,475,24,25,370,476,19.4,23.1,80.8,88.4
smoketest-get-movies-postgres-no-cache,platform-tomcat,69,0,10,12.5,16,116,120,155,656,721,14.9,16.5,23.9,24.5,6.30,13.0,113,486,30,30,356,462,47.5,61.1,270,342
smoketest-get-movies-postgres-no-cache,loom-tomcat,69,0,10,12.1,17,123,126,185,752,812,17.3,20.4,24.0,24.5,5.16,11.4,116,518,24,24,341,446,55.5,71.0,308,388
smoketest-get-movies-postgres-no-cache,loom-netty,69,0,10,11.5,15,127,130,151,493,560,18.3,20.9,23.8,24.2,4.33,5.99,123,571,20,20,365,470,63.6,80.3,341,424
smoketest-get-movies-postgres-no-cache,webflux-netty,69,0,10,11.2,14,125,129,159,447,512,17.4,19.0,23.9,24.4,5.13,10.6,140,643,23,24,364,470,72.8,91.0,389,480
