scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
smoketest-get-time,platform-tomcat,1300,0,200,200,201,0.33,0.40,0.53,0.79,5.15,4.23,5.11,17.2,17.3,5.54,6.34,120,504,58,58,70,104,0.80,1.03,8.05,10
smoketest-get-time,loom-tomcat,1300,0,200,200,201,0.35,0.45,0.59,1.17,12.9,5.84,9.66,21.0,21.1,4.26,5.91,123,552,22,22,70,104,0.80,1.02,8.05,10
smoketest-get-time,loom-netty,1300,0,200,200,201,0.43,0.55,0.78,1.43,16.1,5.76,9.16,21.2,21.2,2.87,3.91,129,616,18,18,70,104,0.57,0.71,5.03,6.22
smoketest-get-time,webflux-netty,1300,0,200,200,201,0.40,0.53,0.71,1.17,11.4,5.44,10.8,21.3,21.4,2.64,3.65,123,567,21,21,70,104,0.57,0.72,5.03,6.22
smoketest-get-movies-h2,platform-tomcat,69,0,10,11.8,16,103,105,108,577,646,3.98,6.04,21.1,21.1,4.41,7.04,119,508,28,29,10,14,4.37,5.88,19.5,30
smoketest-get-movies-h2,loom-tomcat,69,0,10,11.8,16,103,105,117,581,654,4.02,5.03,21.6,21.6,4.26,6.81,119,516,22,23,10,14,4.36,5.88,19.5,30
smoketest-get-movies-h2,loom-netty,69,0,10,11.2,14,103,105,108,374,444,3.89,5.24,21.7,21.8,3.66,8.83,133,658,18,19,12,14,3.96,4.98,13.6,16
smoketest-get-movies-h2,webflux-netty,69,0,10,11.2,14,103,105,108,385,454,3.98,5.25,21.9,21.9,3.79,8.76,118,536,21,23,10,14,4.33,5.74,19.9,30
smoketest-get-movies-postgres,platform-tomcat,69,0,10,11.8,16,104,106,109,619,688,12.5,14.1,13.9,14.4,5.96,9.28,118,536,28,30,360,466,11.9,14.0,86.5,101
smoketest-get-movies-postgres,loom-tomcat,69,0,10,12.1,17,104,107,122,684,754,13.8,18.6,17.4,17.9,5.59,9.69,118,554,23,25,366,470,14.2,17.0,85.5,100
smoketest-get-movies-postgres,loom-netty,69,0,10,11.5,15,104,107,109,457,523,12.9,15.8,17.4,17.8,5.15,9.13,118,590,20,21,371,476,16.6,19.8,81,94.6
smoketest-get-movies-postgres,webflux-netty,69,0,10,11.9,14,104,106,111,441,510,12.5,13.8,17.8,18.3,4.01,5.83,111,547,23,25,368,474,19.5,23.6,87.0,101
smoketest-get-movies-postgres-no-cache,platform-tomcat,69,0,10,12.1,17,118,123,152,709,778,17.2,22,17.9,18.5,4.34,6.40,120,585,28,29,339,444,48.3,61.5,280,355
smoketest-get-movies-postgres-no-cache,loom-tomcat,69,0,10,12.1,17,125,129,165,712,781,19.9,26.3,18.2,18.7,6.74,9.33,118,524,22,24,364,466,55.8,71.4,314,396
smoketest-get-movies-postgres-no-cache,loom-netty,69,0,10,11.5,15,129,132,146,487,557,20.0,23.0,18.1,18.7,4.90,7.50,112,546,19,20,344,446,63.9,80.5,347,430
smoketest-get-movies-postgres-no-cache,webflux-netty,69,0,10,11.9,14,128,131,177,465,534,18.7,22.3,18.5,18.9,4.82,6.40,119,572,22,24,349,450,71.7,91.4,388,487
