epochMillis,memUsed,memCommitted,memMax,gcCount,gcTime,platformThreadCount
1781427586787,272632288,2147483648,2147483648,12,26,18
1781427587781,357566944,2147483648,2147483648,12,26,18
1781427588781,357566944,2147483648,2147483648,12,26,18
1781427589836,846200832,2147483648,2147483648,13,92,56
1781427590819,2125947504,2147483648,2147483648,26,544,56
