scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
1k-vus-and-rps-get-time-no-delay,platform-tomcat,180999,0,1000,1001,1023,0.30,0.36,0.41,0.57,27.8,16.0,50.6,24.4,26.5,29.6,63.0,3906,21898,327,328,992,1005,1.05,1.47,10.1,17.7
1k-vus-and-rps-get-time-no-delay,loom-tomcat,180999,0,1000,1001,1032,0.31,0.38,0.43,0.54,18.0,18.8,33.5,29.2,29.9,32.7,63.2,4261,21241,21,22,992,1005,1.05,1.47,10.1,17.8
1k-vus-and-rps-get-time-no-delay,loom-netty,180998,0,1000,1001,1029,0.38,0.45,0.48,0.63,18.4,20.5,30.4,29.0,30.0,29.7,60.8,4180,31141,17,18,998,1004,0.73,0.74,6.01,8.57
1k-vus-and-rps-get-time-no-delay,webflux-netty,181000,0,1000,1001,1046,0.36,0.42,0.50,0.66,36.7,18.5,32.1,28.6,30.2,29.3,61.0,3832,24380,21,22,998,1006,0.74,0.74,6.01,8.50
5k-vus-and-rps-get-time,platform-tomcat,907093,0,5004,5550,6235,100,101,138,254,683,85.3,100,40.0,41.5,45.0,81.2,7621,113444,1545,1552,4980,5004,1.17,1.69,12.1,19.4
5k-vus-and-rps-get-time,loom-tomcat,898280,0,5003,5506,7091,100,126,901,1164,1337,94.7,100,40.4,41.2,52.7,92.9,27485,805433,21,22,4980,5005,1.15,1.63,12.0,17.7
5k-vus-and-rps-get-time,loom-netty,905632,0,5001,5152,6253,100,102,145,300,1086,88.3,100,37.5,38.2,44.3,73.7,8710,160058,17,18,5004,5005,0.84,1.07,7.99,10.1
5k-vus-and-rps-get-time,webflux-netty,905487,0,5001,5349,5851,100,102,133,230,966,85.4,100,36.4,37.2,33.7,63.1,6105,90992,21,22,5004,5005,0.85,1.04,8.02,9.89
10k-vus-and-rps-get-movies,platform-tomcat,1104776,9477,5510,8845,11824,101,834,1389,2005,59885,99.9,100,53.6,62.1,58.6,79.2,15861,553347,2817,3920,9946,10058,5.15,18.9,14.2,52.1
10k-vus-and-rps-get-movies,loom-tomcat,664757,10740,3658,4786,5951,203,2225,2641,3105,59624,98.4,100,47.0,47.7,78.1,96.3,47521,2925927,21,22,10003,10011,4.51,11.5,11.1,60.9
10k-vus-and-rps-get-movies,loom-netty,845477,0,4725,5488,6402,108,2053,3312,4442,6374,99.9,100,47.2,48.0,72.5,85.8,22562,1959451,17,19,10003,10004,4.17,18.9,6.99,80.9
10k-vus-and-rps-get-movies,webflux-netty,677732,473,3617,5180,8513,366,2522,3097,3706,59911,99.9,100,47.6,48.7,73.6,89.6,20438,1280509,21,23,10003,10004,4.80,15.1,17.1,73.0
10k-vus-stepped-spike-get-movies,platform-tomcat,462053,2655,2585,3916,4955,100,101,102,208,60001,54.3,100,39.9,44.7,33.7,69.9,4581,37316,502,761,6552,10004,4.68,42.5,12.9,115
10k-vus-stepped-spike-get-movies,loom-tomcat,462732,2649,2432,3907,5160,100,101,109,231,60001,56.5,100,40.5,45.1,36.2,73.5,5513,45238,21,23,6556,10004,4.40,6.16,12.3,34.4
10k-vus-stepped-spike-get-movies,loom-netty,484986,0,2438,4567,6781,101,102,171,611,1162,60.1,100,39.6,43.5,29.6,60.6,5580,79793,17,19,6762,10004,4.13,7.55,8.51,32.7
10k-vus-stepped-spike-get-movies,webflux-netty,458311,0,2428,3901,5271,101,107,671,1117,2763,68.3,100,39.7,44.1,29.9,62.2,5178,72139,21,23,6757,10005,4.63,9.43,16.6,45.6
10k-vus-smooth-spike-get-post-movies,platform-tomcat,414797,1808,2373,3905,5726,100,101,112,364,60001,54.8,100,41.2,46.4,32.1,66.5,4686,39435,435,797,5775,10004,8.17,89.2,13.9,144
10k-vus-smooth-spike-get-post-movies,loom-tomcat,412179,1803,2422,3856,4371,100,102,173,426,60001,59.0,100,41.7,47.5,35.5,75.9,6093,60586,21,23,5773,10000,8.37,130,14.3,225
10k-vus-smooth-spike-get-post-movies,loom-netty,420949,0,2302,4159,6235,101,103,255,719,1292,61.5,100,41.0,45.5,29.2,63.7,5869,83801,17,19,5938,10004,8.24,126,10.2,147
10k-vus-smooth-spike-get-post-movies,webflux-netty,381499,0,2302,3382,3887,101,120,845,3727,5433,69.9,100,41.6,46.1,29.4,64.7,5515,82973,21,23,5932,10004,7.99,87.1,18.3,213
10k-vus-smooth-spike-get-post-movies-call-depth-1,platform-tomcat,292399,6306,1760,2473,3611,21.0,273,876,20464,60001,78.2,100,44.9,53.1,48.6,86.0,7011,162642,1806,3675,5709,9926,10.1,114,28.2,313
10k-vus-smooth-spike-get-post-movies-call-depth-1,loom-tomcat,257638,8154,1569,2122,2612,101,441,1475,21005,60001,79.5,100,44.5,49.9,51.6,89.5,11393,297851,21,23,5671,9884,9.97,119,27.6,367
10k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,311856,0,1932,2492,3271,101,720,2115,2861,5034,81.1,100,42.0,46.3,31.7,66.2,7244,169077,17,19,5943,10004,9.03,122,18.6,268
10k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,254474,0,1550,1996,2432,101,1438,3465,4930,8272,83.6,100,43.0,50.1,36.3,83.1,6272,147168,21,23,5935,10004,9.54,106,27.3,319
